call_id,domain,raw_domain,gender,accent,duration_seconds,processed_duration_seconds,overall_audio_sentiment,dominant_emotion,negative_emotion_probability,anger_probability,stress_probability,sadness_probability,anxiety_probability,calm_probability,audio_escalation_score,risk_level,prediction_confidence,confidence_level,uncertain_prediction,model_version,result_json
APPTEK_BANKING_0001,banking,banking,male,en-IE,578.853,60.0,Positive,happy,0.01754986133892089,0.005093132145702839,0.006092390604317188,0.0010323842288926244,0.007591278292238712,0.002618656260892749,0.3155331067593276,Medium,0.9798315167427063,High,False,model_v5_cremad_ravdess_freeze6_epochs5_lr1e5,outputs/apptek/sentiment_results/APPTEK_BANKING_0001_sentiment.json
APPTEK_BANKING_0002,banking,banking,male,en-IE,578.853,60.0,Negative,disgust,0.9812983796000481,0.008682024665176868,0.008993291296064854,0.024353504180908203,0.009460191242396832,0.0036695245653390884,0.3403372623265386,Medium,0.9388026595115662,High,False,model_v5_cremad_ravdess_freeze6_epochs5_lr1e5,outputs/apptek/sentiment_results/APPTEK_BANKING_0002_sentiment.json
APPTEK_BANKING_0003,banking,banking,male,en-IE,780.0,60.0,Positive,happy,0.01999291544780135,0.004178275819867849,0.005758266244083643,0.0016776123084127903,0.008128251880407333,0.0038556193467229605,0.15678871005609835,Low,0.9761515259742737,High,False,model_v5_cremad_ravdess_freeze6_epochs5_lr1e5,outputs/apptek/sentiment_results/APPTEK_BANKING_0003_sentiment.json
APPTEK_BANKING_0004,banking,banking,male,en-IE,780.0,60.0,Negative,disgust,0.7793270964175463,0.019547810778021812,0.02087147422134876,0.025974206626415253,0.022856969386339188,0.00649562943726778,0.2806993873272101,Low,0.71094810962677,Medium,False,model_v5_cremad_ravdess_freeze6_epochs5_lr1e5,outputs/apptek/sentiment_results/APPTEK_BANKING_0004_sentiment.json
APPTEK_BANKING_0005,banking,banking,male,en-IE,880.626,60.0,Negative,disgust,0.9608857203274965,0.011243931949138641,0.012986355274915696,0.03709065914154053,0.015599990263581276,0.006074361503124237,0.3473629438120224,Medium,0.8969511389732361,High,False,model_v5_cremad_ravdess_freeze6_epochs5_lr1e5,outputs/apptek/sentiment_results/APPTEK_BANKING_0005_sentiment.json
APPTEK_BANKING_0006,banking,banking,male,en-IE,880.626,60.0,Negative,disgust,0.9903570059686899,0.007953180931508541,0.007536323182284832,0.02596755139529705,0.006911036558449268,0.003370450111106038,0.3238584164668282,Medium,0.9495252370834351,High,False,model_v5_cremad_ravdess_freeze6_epochs5_lr1e5,outputs/apptek/sentiment_results/APPTEK_BANKING_0006_sentiment.json
APPTEK_BANKING_0007,banking,banking,female,en-IE,606.499,60.0,Positive,happy,0.024754423648118973,0.00365098612383008,0.00787257617339492,0.002277357503771782,0.014204961247742176,0.004376623313874006,0.23710678244283673,Low,0.9708690047264099,High,False,model_v5_cremad_ravdess_freeze6_epochs5_lr1e5,outputs/apptek/sentiment_results/APPTEK_BANKING_0007_sentiment.json
APPTEK_BANKING_0008,banking,banking,female,en-IE,606.499,60.0,Negative,disgust,0.9884646516293287,0.0085889408364892,0.0091935770586133,0.023329654708504677,0.01010053139179945,0.002335235709324479,0.3383231425044869,Medium,0.9464455246925354,High,False,model_v5_cremad_ravdess_freeze6_epochs5_lr1e5,outputs/apptek/sentiment_results/APPTEK_BANKING_0008_sentiment.json
APPTEK_BANKING_0009,banking,banking,female,en-IE,799.471,60.0,Positive,happy,0.016260144184343517,0.0031274808570742607,0.005049434117972851,0.0017204437172040343,0.007932364009320736,0.006179997231811285,0.2698265371663001,Low,0.9775598049163818,High,False,model_v5_cremad_ravdess_freeze6_epochs5_lr1e5,outputs/apptek/sentiment_results/APPTEK_BANKING_0009_sentiment.json
APPTEK_BANKING_0010,banking,banking,female,en-IE,799.471,60.0,Neutral,neutral,0.04328776081092656,0.0029644619207829237,0.004962486820295453,0.02879335731267929,0.007959524169564247,0.9178112149238586,0.2736827255629881,Low,0.9178112149238586,High,False,model_v5_cremad_ravdess_freeze6_epochs5_lr1e5,outputs/apptek/sentiment_results/APPTEK_BANKING_0010_sentiment.json
